[# ERROR | 2023-07-28 | 23:11:41.061 | PID=15668 | ThreadId=8184 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:11:41.109 | PID=15668 | ThreadId=12916 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:11:41.216 | PID=15668 | ThreadId=12916 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:11:41.310 | PID=15668 | ThreadId=12916 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:11:41.419 | PID=15668 | ThreadId=12916 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:26.623 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:26.732 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:26.825 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:26.918 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.029 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.123 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.231 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.324 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.419 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.528 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.620 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.731 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.824 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:27.932 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.026 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.119 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.228 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.321 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.430 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-07-28 | 23:47:28.524 | PID=15668 | ThreadId=20440 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
